code_3L,libele,valeur,code_indicateur
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
FRA,Pop. dans grandes agglomérations (%),22.927852668258,EN.URB.MCTY.TL.ZS
GAB,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
GHA,Pop. dans grandes agglomérations (%),19.0254746120166,EN.URB.MCTY.TL.ZS
GUY,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
HKG,Pop. dans grandes agglomérations (%),100.0,EN.URB.MCTY.TL.ZS
KEN,Pop. dans grandes agglomérations (%),12.2256557459122,EN.URB.MCTY.TL.ZS
KEN,Pop. dans grandes agglomérations (%),12.2256557459122,EN.URB.MCTY.TL.ZS
KGZ,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
LKA,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
LKA,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
LKA,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
LKA,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
LSO,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
LUX,Pop. dans grandes agglomérations (%),,EN.URB.MCTY.TL.ZS
