City,country,code_3L,month,temp_avg,temp_max,temp_min
Ha Long,vietnam,VNM,6,29.4,33.2,26.6
Ha Long,vietnam,VNM,7,28.9,33.1,26.4
Ha Long,vietnam,VNM,8,28.2,31.9,25.5
Ha Long,vietnam,VNM,9,27.6,31.5,24.8
Halifax,canada,CAN,1,-2.0,1.8,-5.9
Halifax,canada,CAN,10,11.8,15.3,8.1
Halifax,canada,CAN,11,6.1,9.3,2.6
Halifax,canada,CAN,12,1.1,4.4,-2.2
Halifax,canada,CAN,2,-2.9,0.9,-6.4
Halifax,canada,CAN,3,0.0,3.9,-3.8
Halifax,canada,CAN,4,5.2,8.9,1.6
Halifax,canada,CAN,5,9.9,14.3,5.7
Halifax,canada,CAN,6,14.9,19.4,10.6
Halifax,canada,CAN,7,19.5,23.7,15.3
Halifax,canada,CAN,8,20.1,24.1,16.1
Halifax,canada,CAN,9,17.0,21.0,13.1
Hanoi,vietnam,VNM,1,17.8,20.8,15.2
Hanoi,vietnam,VNM,10,25.9,29.6,22.7
Hanoi,vietnam,VNM,11,23.4,27.2,20.2
Hanoi,vietnam,VNM,12,18.6,22.3,15.7
Hanoi,vietnam,VNM,2,18.9,21.8,16.4
Hanoi,vietnam,VNM,3,21.9,25.0,19.9
Hanoi,vietnam,VNM,4,25.0,28.2,22.4
Hanoi,vietnam,VNM,5,28.3,31.9,25.0
Hanoi,vietnam,VNM,6,30.3,34.7,26.9
Hanoi,vietnam,VNM,7,30.0,34.3,26.8
Hanoi,vietnam,VNM,8,29.2,33.0,26.1
Hanoi,vietnam,VNM,9,28.5,32.3,25.5
Harare,zimbabwe,ZWE,1,21.1,25.3,17.1
Harare,zimbabwe,ZWE,10,22.4,29.0,15.0
Harare,zimbabwe,ZWE,11,22.3,28.3,16.8
Harare,zimbabwe,ZWE,12,22.1,27.5,17.2
Harare,zimbabwe,ZWE,2,21.3,26.2,16.7
Harare,zimbabwe,ZWE,3,20.9,26.4,15.6
Harare,zimbabwe,ZWE,4,19.6,25.5,13.8
Harare,zimbabwe,ZWE,5,16.8,23.7,10.2
Harare,zimbabwe,ZWE,6,14.7,21.1,8.5
Harare,zimbabwe,ZWE,7,14.6,21.8,7.3
Harare,zimbabwe,ZWE,8,17.5,25.2,9.9
Harare,zimbabwe,ZWE,9,20.6,27.9,12.8
Havana,cuba,CUB,1,22.4,25.7,19.7
Havana,cuba,CUB,10,26.5,30.0,23.8
Havana,cuba,CUB,11,24.6,28.3,21.4
Havana,cuba,CUB,12,23.3,26.3,20.8
Havana,cuba,CUB,2,23.5,27.7,20.2
Havana,cuba,CUB,3,24.0,28.7,20.4
Havana,cuba,CUB,4,25.9,29.8,22.6
Havana,cuba,CUB,5,26.9,30.7,23.8
Havana,cuba,CUB,6,27.2,31.2,24.3
Havana,cuba,CUB,7,28.1,31.8,25.3
Havana,cuba,CUB,8,28.1,31.4,25.5
Havana,cuba,CUB,9,27.9,31.0,25.5
Ho Chi Minh City,vietnam,VNM,1,27.5,32.7,23.6
Ho Chi Minh City,vietnam,VNM,10,27.8,32.2,24.8
Ho Chi Minh City,vietnam,VNM,11,28.1,32.4,24.8
Ho Chi Minh City,vietnam,VNM,12,27.5,32.2,23.8
Ho Chi Minh City,vietnam,VNM,2,27.9,33.5,24.0
Ho Chi Minh City,vietnam,VNM,3,29.1,34.5,25.7
Ho Chi Minh City,vietnam,VNM,4,30.2,35.1,27.1
Ho Chi Minh City,vietnam,VNM,5,29.9,34.9,26.9
Ho Chi Minh City,vietnam,VNM,6,28.8,33.4,25.7
Ho Chi Minh City,vietnam,VNM,7,28.3,32.7,25.2
Ho Chi Minh City,vietnam,VNM,8,28.4,32.8,25.5
Ho Chi Minh City,vietnam,VNM,9,27.9,32.2,25.0
Hoi An,vietnam,VNM,1,22.2,25.2,19.9
Hoi An,vietnam,VNM,10,26.8,29.8,24.2
Hoi An,vietnam,VNM,11,25.6,28.5,23.3
Hoi An,vietnam,VNM,12,22.9,25.6,21.1
Hoi An,vietnam,VNM,2,23.1,26.5,20.9
Hoi An,vietnam,VNM,3,25.5,29.3,23.1
Hoi An,vietnam,VNM,4,27.3,31.4,24.7
Hoi An,vietnam,VNM,5,29.3,33.9,26.1
Hoi An,vietnam,VNM,6,30.6,35.9,26.8
Hoi An,vietnam,VNM,7,29.9,34.9,26.6
Hoi An,vietnam,VNM,8,30.0,35.2,26.6
Hoi An,vietnam,VNM,9,28.8,32.9,25.5
Hong Kong,hong kong,HKG,1,17.4,20.2,15.1
